"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf1692",3.17198958246497e-06,0.236787589725274,0.231,0.155,0.0655142728362315,"7","Rnf169"
"Fam20b4",3.24460080387033e-06,0.312802772870598,0.295,0.211,0.0670139850031379,"7","Fam20b"
"Zfp873",3.24872690678434e-06,0.7235536649098,0.152,0.092,0.0670992055327237,"7","Zfp87"
"Sema6b1",3.27924667778586e-06,0.810060315967649,0.11,0.061,0.0677295608829892,"7","Sema6b"
"Pdcd72",3.29687550202385e-06,0.262458697213319,0.293,0.208,0.0680936666188007,"7","Pdcd7"
"Scmh12",3.30473793981356e-06,0.433705886627851,0.206,0.134,0.0682560574089092,"7","Scmh1"
"Ezh11",3.32177515414321e-06,0.170555937076541,0.222,0.148,0.0686079440336738,"7","Ezh1"
"Slc36a41",3.37186939580519e-06,0.231167375295124,0.286,0.2,0.0696425905009604,"7","Slc36a4"
"Dmxl21",3.38969909395077e-06,0.283476214755079,0.108,0.059,0.0700108450864592,"7","Dmxl2"
"Tmed83",3.49281875620542e-06,0.480293161876852,0.172,0.107,0.0721406785906667,"7","Tmed8"
"Dmap13",3.51517125560837e-06,0.312662426900483,0.237,0.159,0.0726023471133353,"7","Dmap1"
"Lin374",3.58852471074878e-06,0.364285821169569,0.239,0.164,0.0741173893758052,"7","Lin37"
"Stambp2",3.68733152723367e-06,0.419066127791769,0.335,0.245,0.0761581453634843,"7","Stambp"
"Scarb12",3.90267736421294e-06,0.145056951508129,0.251,0.171,0.080605898280454,"7","Scarb1"
"Pcgf11",4.0317000043662e-06,0.424476150863394,0.132,0.077,0.0832707318901795,"7","Pcgf1"
"Decr23",4.04626338655305e-06,0.459279960829965,0.206,0.136,0.0835715239858666,"7","Decr2"
"Rnf1663",4.44716513452737e-06,0.258373861539511,0.371,0.281,0.0918517486885283,"7","Rnf166"
"Map3k82",4.63944883471289e-06,0.11825643750097,0.221,0.146,0.0958231762321601,"7","Map3k8"
"Fahd2a3",4.64918356350608e-06,0.415325995181547,0.179,0.116,0.0960242373206547,"7","Fahd2a"
"Aspscr12",4.85591777389039e-06,0.187335075163467,0.371,0.273,0.100294125701932,"7","Aspscr1"
"Zfyve191",4.86648782159912e-06,0.600519029889419,0.204,0.136,0.100512439467308,"7","Zfyve19"
"Aagab1",4.8887733911004e-06,0.421913027936271,0.197,0.132,0.100972725619788,"7","Aagab"
